sofifa_id,long_name,short_name,overall
171877,Marek Hamšík,M. Hamšík,84
172879,Sokratis Papastathopoulos,Sokratis,84
176266,Lucas  Pezzini Leiva,Lucas Leiva,84
176635,Mesut Özil,M. Özil,84
177610,Javier Martínez Aginaga,Javi Martínez,84
177683,Yann Sommer,Y. Sommer,84
180930,Edin Džeko,E. Džeko,84
181291,Georginio Wijnaldum,G. Wijnaldum,84
181458,Ivan Perišić,I. Perišić,84
181783,Mario Mandžukić,M. Mandžukić,84
181872,Arturo Vidal,A. Vidal,84
183907,Jérôme Boateng,J. Boateng,84
184432,César Azpilicueta Tanco,Azpilicueta,84
185020,José María Callejón Bueno,José Callejón,84
186942,İlkay Gündoğan,I. Gündoğan,84
187961,José Paulo Bezzera Maciel Júnior,Paulinho,84
188377,Kyle Walker,K. Walker,84
190286,Sergio Canales Madrazo,Canales,84
190483,Douglas Costa de Souza,Douglas Costa,84
197965,Luís Miguel Afonso Fernandes,Pizzi,84
199434,Dušan Tadić,D. Tadić,84
200647,Josip Iličić,J. Iličić,84
204485,Riyad Mahrez,R. Mahrez,84
205678,Edin Višća,E. Višća,84
207863,Felipe Augusto de Almeida Monteiro,Felipe,84
226271,Fabián Ruiz Peña,Fabián,83
210413,Alessio Romagnoli,A. Romagnoli,83
226226,Giovani Lo Celso,G. Lo Celso,83
231281,Trent Alexander-Arnold,T. Alexander-Arnold,83
232432,Luka Jović,L. Jović,83
205175,Arkadiusz Milik,A. Milik,83
211300,Anthony Martial,A. Martial,83
212523,Anderson Souza Conceição,Anderson Talisca,83
213331,Jonathan Tah,J. Tah,83
219683,Corentin Tolisso,C. Tolisso,83
221087,Pau López Sabata,Pau López,83
224411,Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,83
226110,Nicolas Pépé,N. Pépé,83
229237,Manuel Obafemi Akanji,M. Akanji,83
231677,Marcus Rashford,M. Rashford,83
203574,John Stones,J. Stones,83
210008,Adrien Rabiot,A. Rabiot,83
210035,Alejandro Grimaldo García,Grimaldo,83
212188,Timo Werner,T. Werner,83
213565,Thomas Lemar,T. Lemar,83
220793,Davinson Sánchez,D. Sánchez,83
220834,Marco Asensio Willemsen,Marco Asensio,83
200458,Lucas Digne,L. Digne,83
202166,Julian Draxler,J. Draxler,83
204935,Jordan Pickford,J. Pickford,83
208418,Yannick Ferreira Carrasco,Y. Carrasco,83
224179,Borja Iglesias Quintas,Borja Iglesias,83
192984,Koen Casteels,K. Casteels,83
198717,Wilfried Zaha,W. Zaha,83
200454,Francisco Alcácer García,Paco Alcácer,83
201153,Álvaro Borja Morata Martín,Morata,83
205693,Sébastien Haller,S. Haller,83
207566,William Silva de Carvalho,William Carvalho,83
212404,Federico Bernardeschi,F. Bernardeschi,83
217940,Djené Dakonam Ortega,D. Djené,83
188152,Oscar dos Santos Emboaba Júnior,Oscar,83
188943,Kevin Trapp,K. Trapp,83
198141,Marc Bartra Aregall,Bartra,83
198950,Pablo Sarabia García,Pablo Sarabia,83
199987,Jasper Cillessen,J. Cillessen,83
200949,Lucas Rodrigues M. Silva,Lucas Moura,83
204970,Florian Thauvin,F. Thauvin,83
205498,Luiz Frello Filho Jorge,Jorginho,83
1179,Gianluigi Buffon,G. Buffon,83
5479,Iker Casillas Fernández,Casillas,83
104389,Rune  Almenning Jarstein,R. Jarstein,83
139720,Vincent Kompany,V. Kompany,83
157481,Raúl Albiol Tortajada,Raúl Albiol,83
159261,Fabio Quagliarella,F. Quagliarella,83
163587,Kasper Schmeichel,K. Schmeichel,83
167397,Radamel Falcao García Zárate,Falcao,83
168609,João Miranda de Souza Filho,Miranda,83
169416,Carlos Alberto Vela Garrido,C. Vela,83
170481,Ezequiel Marcelo Garay,E. Garay,83
178005,Rui Pedro dos Santos Patrício,Rui Patrício,83
178518,Radja Nainggolan,R. Nainggolan,83
